9377,62,Taunggyi,98.423889,21.301111,"21? 18' 04""",Shan,,0,9377,98.423889,21.301111,POINT,(98.423889,21.301111),11137,1866,5216,461,3180,277,515,28.5534704139,,
3375,63,Taunggyi,97.819444,21.925278,"21? 55' 31""",Shan,,0,3375,97.819444,21.925278,POINT,(97.819444,21.925278),14712,3387,5918,354,1033,165,53,7.0214790647,,
17985,64,Taunggyi,97.665,21.270278,"21? 16' 13""",Shan,,0,17985,97.665,21.270278,POINT,(97.66500000000001,21.270278),8790,1348,5191,576,2298,244,165,26.1433447099,,
7213,65,Taunggyi,98.003611,20.342222,"20? 20' 32""",Shan,,0,7213,98.003611,20.342222,POINT,(98.00361100000001,20.342222),9548,2480,5478,663,3401,294,449,35.6200251362,,
24113,66,Taunggyi,96.865278,21.246667,"21? 14' 48""",Shan,,0,24113,96.865278,21.246667,POINT,(96.865278,21.246667),34107,13093,20674,901,9771,613,650,28.6480781071,,
24684,67,Taunggyi,97.565833,20.925278,"20? 55' 31""",Shan,,0,24684,97.565833,20.925278,POINT,(97.565833,20.925278),25417,3358,14455,591,6893,724,1529,27.1196443325,,
5466,68,Taunggyi,97.723611,20.230556,"20? 13' 50""",Shan,,0,5466,97.723611,20.230556,POINT,(97.72361100000001,20.230556),7194,701,1687,20,262,56,10,3.6419238254,,
13877,69,Taunggyi,98.360556,21.905,"21? 54' 18""",Shan,,0,13877,98.360556,21.905,POINT,(98.360556,21.905),15867,3805,7211,160,3482,206,525,21.9449171236,,
35692,70,Taunggyi,97.871111,20.513611,"20? 30' 49""",Shan,,0,35692,97.871111,20.513611,POINT,(97.871111,20.513611),8485,1540,4819,56,1821,278,264,21.461402475,,
10327,71,Taunggyi,98.354167,20.318889,"20? 19' 08""",Shan,,0,10327,98.354167,20.318889,POINT,(98.354167,20.318889),5421,1240,2804,117,2373,252,180,43.7742114001,,
26715,72,Taunggyi,97.720278,20.889167,"20? 53' 21""",Shan,,0,26715,97.720278,20.889167,POINT,(97.72027799999999,20.889167),23227,4644,13486,830,7699,741,1047,33.1467688466,,
15243,73,Taunggyi,96.931944,20.659444,"20? 39' 34""",Shan,,0,15243,96.931944,20.659444,POINT,(96.931944,20.659444),42634,13801,23640,810,14973,669,1604,35.1198573908,,
12642,74,Taunggyi,97.008333,19.863611,"19? 51' 49""",Shan,,0,12642,97.008333,19.863611,POINT,(97.00833299999999,19.863611),20084,6399,10762,800,4315,381,316,21.4847639912,,
10015,75,Taunggyi,96.662778,20.941667,"20? 56' 30""",Shan,,0,10015,96.662778,20.941667,POINT,(96.662778,20.941667),17544,7324,8862,348,2849,226,136,16.2391700866,,
66948,76,Taunggyi,96.782222,20.124444,"20? 07' 28""",Shan,,0,66948,96.782222,20.124444,POINT,(96.782222,20.124444),42083,8029,22096,979,9832,520,1416,23.3633533731,,
4073,77,Taunggyi,96.442222,21.162778,"21? 09' 46""",Shan,,0,4073,96.442222,21.162778,POINT,(96.442222,21.162778),18348,8890,4781,219,2207,81,152,12.028558971,,
(North),78,Lashio,8,172089,"22? 57' 10""",Shan,Shan,State,(North),8,172089,97.7475,22.952778,POINT,(97.7475,22.952778),64932,15307,44205,4330,30118,3910,6087,46.3839093205
36730,79,Lashio,98.750278,23.425556,"23? 25' 32""",Shan,,0,36730,98.750278,23.425556,POINT,(98.75027799999999,23.425556),11216,1432,6228,1059,5078,252,229,45.2746077033,,
48730,80,Lashio,97.973611,23.307222,"23? 18' 26""",Shan,,0,48730,97.973611,23.307222,POINT,(97.97361100000001,23.307222),11779,3031,7407,528,5087,232,524,43.1870277613,,
1561240,81,Lashio,97.298056,22.618889,"22? 37' 08""",Shan,,0,1561240,97.298056,22.618889,POINT,(97.298056,22.618889),37906,7510,18038,1225,10200,553,592,26.9086688123,,
742,82,Lashio,98.539444,23.829444,"23? 49' 46""",Shan,,0,742,98.539444,23.829444,POINT,(98.539444,23.829444),9665,148,3473,1007,4681,77,73,48.4324883601,,
5342,83,Lashio,98.644444,23.407222,"23? 24' 26""",Shan,,0,5342,98.644444,23.407222,POINT,(98.64444399999999,23.407222),10392,1267,6129,1886,2469,216,93,23.7586605081,,
173070,84,Lashio,97.943333,23.459167,"23? 27' 33""",Shan,,0,173070,97.943333,23.459167,POINT,(97.943333,23.459167),32080,6759,14876,2296,6752,492,797,21.0473815461,,
11053,85,Lashio,98.764167,23.691667,"23? 41' 30""",Shan,,0,11053,98.764167,23.691667,POINT,(98.764167,23.691667),15181,792,11704,2028,10775,572,431,70.9768789935,,
2827,86,Lashio,96.629167,23.473056,"23? 28' 23""",Shan,,0,2827,96.629167,23.473056,POINT,(96.629167,23.473056),8632,3880,6117,628,3389,142,165,39.2608897127,,
35504,87,Lashio,97.120278,23.252222,"23? 15' 08""",Shan,,0,35504,97.120278,23.252222,POINT,(97.120278,23.252222),7683,1493,1447,62,421,28,8,5.4796303527,,
